"m/z","C","C","C","C","C","AVG","DM1","DM1","DM1","DM1","DM1","AVG","DM1+I","DM1+I","DM1+I","DM1+I","DM1+I","AVG"
"399.0818083","65061.76976","89575.17925","49057.42331","50898.83567","53884.41691","61695.52498000001","51678.22557","55966.92035","54224.91632","52052.65252","46936.6699","52171.876932","50347.45323","61806.99944","52326.61307","56895.65185","52272.14452","54729.772421999995"
"1392.278429","6002.353614","5459.999608","7780.757526","5895.717515","6618.984399","6351.5625324","10917.99548","14379.58752","12659.63788","11943.63413","15380.27255","13056.225512","6798.690511","3762.588822","5703.791454","5025.439414","6615.251116","5581.1522634"
"1161.125686","6323.850786","8002.351643","6209.835843","6244.280392","7342.715768","6824.6068864","8617.880044","10320.19629","9598.425722","8557.851558","8823.408045","9183.5523318","7236.416665","5109.385611","6945.388278","6942.347934","7229.237371","6692.555171800001"
"559.6169963","9506.586895","10430.94693","8564.744109","8405.077241","10281.35547","9437.742129","5392.112312","1793.57574","5509.480471","8142.958152","6219.379374","5411.5012098","15550.8225","11262.44316","14307.32251","13694.98032","10601.44294","13083.402286"
"119.0855637","10752.03395","11439.84098","9580.509135","6925.423869","6867.063084","9112.974203599999","6375.924903","7220.407768","6621.549063","7016.320197","6636.809544","6774.202295000001","7694.921856","6240.97434","7540.858859","8427.459476","6798.440549","7340.531016000001"
"307.2642472","96005.7932","80006.24938","117935.4868","74533.47298","74809.07408","88658.01528800001","100815.6923","117586.4253","91098.5089","108274.5958","129594.0601","109473.85648","97385.53603","83890.0727","93749.89706","83773.12715","102476.6588","92255.058348"
"952.5487297","586656.193","766670.4659","837853.7828","791905.3087","766501.1293","749917.3759399999","967135.2284","912438.8392","1160104.99","1146877.154","1261085.117","1089528.26572","785609.9931","787808.1326","736447.2436","745134.298","743754.936","759750.92066"
"878.543319","4482263.109","4934378.436","6452230.641","6995582.198","6930015.227","5958893.9222","4324008.509","3634551.58","4679954.46","5572777.228","5538456.05","4749949.5654","6194680.95","6158547.093","6434147.844","6048398.667","6048281.569","6176811.2246"
"209.1536412","16515.81616","13945.29445","16212.23714","9360.623778","9806.059376","13168.0061808","11185.92543","12570.69184","10202.77481","10929.54741","12242.63465","11426.314827999999","10693.13492","7197.088457","9795.254084","9155.697134","8869.778385","9142.190596"
"269.2270591","142452.6254","100852.1303","147404.8811","71281.64703","80733.85467","108545.0277","83742.59528","90758.33733","78827.93952","87403.18417","104515.766","89049.56446","88834.3826","53419.77795","82714.19256","71507.41926","64418.18062","72178.790598"
"371.2655904","176206.4545","305750.0238","169144.0998","169562.9692","174277.6978","198988.24902","153502.9051","169668.3682","150416.547","146760.426","132652.3927","150600.1278","164583.6847","206438.5516","174058.7272","202599.4126","192856.6409","188107.4034"
"1489.142011","1493097.066","1456376.584","1172013.684","1579178.454","1524023.816","1444937.9208","1137794.801","1446614.531","1634365.869","1423253.31","1457818.267","1419969.3556","2071700.688","1781392.674","1513551.289","1838686.654","1513913.988","1743849.0586000003"
"371.7675724","74230.72904","118795.3869","73236.25709","71000.84664","74410.40587","82334.72510800001","63613.04453","69701.54431","61848.15366","61873.2563","56228.94622","62652.989003999995","70460.91072","85438.85438","75592.66988","85552.25794","82436.13246","79896.165076"
"235.1695378","65633.02858","56404.45633","64083.59683","37558.58438","42238.55234","53183.643692","40122.82987","41667.80143","36847.38353","40281.83381","44414.47199","40666.86412599999","43389.1863","31440.4295","41680.91629","38342.45425","35177.40605","38006.078477999996"
"1787.061482","585.5891899","262.6401501","386.3548731","9043.915417","6745.569244","3404.8137748199997","7696.154596","4069.742928","8007.80386","9793.206861","8734.395559","7660.260760799999","491.5809968","13819.65182","720.8266755","626.1679189","11303.02171","5392.249824240001"
"190.9927547","3351.665919","8259.214679","3223.865491","3715.519158","3834.926013","4477.038252","3454.037581","3943.837359","3618.731303","3532.744308","3156.471756","3541.1644613999997","3786.4422","4939.673215","3595.376279","4523.490076","3907.204195","4150.437193"
"519.7958758","5506.046308","8926.307798","4477.307534","4682.176739","4251.606872","5568.689050200001","4421.68787","5147.666677","4541.322969","3695.738454","4130.730211","4387.4292362","4009.373321","5068.406794","3831.001093","4143.850491","3885.920279","4187.710395600001"
"488.849117","8591.897493","14127.11929","6882.333428","9254.697293","8327.879493","9436.7853994","5660.326056","9370.258483","7595.409335","5604.428348","6298.407605","6905.7659654","8547.561087","8432.593819","8686.537525","8167.444083","6654.773996","8097.782102"
"546.8252865","10575.00307","17924.24914","8901.461119","10413.40336","10766.1039","11716.0441178","7566.85124","10775.87775","8601.44057","6905.118546","7569.894397","8283.8365006","8733.821835","12282.4903","8929.631586","9566.721857","9346.670245","9771.8671646"
"591.8034982","19076.38262","31875.37063","15470.72851","17405.3139","16842.21495","20134.002121999998","13715.88451","17817.12977","15360.15915","12935.58828","13417.55052","14649.262445999999","15820.64267","18521.5998","15584.44433","16847.82337","16132.52546","16581.407126"
"203.0530899","43889.70561","128241.1638","39907.58168","100008.4864","97257.31876","81860.85124999999","92375.62403","83112.60398","104974.6423","101978.3489","89988.86341","94486.016524","76995.04124","153895.9852","78091.08808","59728.07616","122563.9282","98254.82377599999"
"381.0803383","43674.02112","101631.0206","48887.60773","108138.0445","109880.4606","82442.23091000001","122486.0191","81401.66982","104494.2807","135800.7806","119568.4503","112750.240104","57425.13041","142147.8714","53934.07495","45113.95109","132924.5213","86309.10983"
"276.1197219","103630.0988","117562.09","50980.07117","46960.29886","44576.62593","72741.836952","134459.9423","195472.1998","155976.2957","107345.619","167124.4354","152075.69843999998","55680.75518","55543.64063","55763.42384","58495.32501","48040.04078","54704.637088"
"1532.482083","7322.634451","6918.537302","7104.067631","19707.90822","16607.64283","11532.158086799998","16174.08587","9182.960843","16050.90868","20224.77098","17011.22773","15728.7908206","8125.630384","28368.21138","8467.690195","9349.651299","22938.29505","15449.895661599998"
"413.1509285","16500.54763","23465.20305","16454.97184","11166.77718","11960.48199","15909.596338","14110.97308","19394.88772","12384.12336","11736.26349","10957.39429","13716.728387999998","19292.71804","11056.39083","17219.87982","22003.21501","9388.059851","15792.0527102"
"1157.351378","15014.0409","17984.13513","12638.62033","12587.87931","12391.86949","14123.309032","12740.45227","13366.93802","12231.32964","12928.75731","11867.16164","12626.927776","17904.41856","17921.97799","17256.40581","21713.80776","13856.01837","17730.525698"
"497.1235545","19592.87938","31847.91293","25598.37289","17453.31057","18658.74364","22630.243882","14742.0772","21315.19546","17227.45637","13596.8783","14375.84255","16251.489976","21658.98722","22954.2465","19818.27772","23871.02243","17709.54848","21202.41647"
"1753.545566","7353.012428","6154.720251","6735.544952","16943.17202","14606.725","10358.6349302","14862.24303","11196.06052","14531.37927","20471.58376","16308.21299","15473.895913999999","9102.340959","26620.37791","9619.697152","8762.054777","23722.45245","15565.384649599999"
"591.1602518","9050.343185","12044.81842","8044.903196","5490.802496","5731.573089","8072.488077200001","5779.842874","9349.780426","6769.789629","4354.872878","5139.937515","6278.8446644","9611.15586","6198.054807","9718.692969","12591.54409","4492.001641","8522.289873400001"
"1562.487183","13705.86227","11950.47249","11967.8994","18763.24832","18807.27206","15038.950907999999","18413.60439","16181.87905","17290.33527","20281.80791","18244.79386","18082.484096","16054.66171","24233.9963","16550.24444","15745.35812","21750.75462","18867.003038000003"
"1861.567082","5232.239657","3681.891802","4113.50546","16402.17745","13614.05748","8608.774369800001","14919.43239","11629.99809","14864.63481","21385.14703","18916.13619","16343.069701999999","6561.366681","23928.79875","7169.675913","7456.907772","21868.74591","13397.099005200002"
"316.1039088","61373.5944","71430.25888","50866.62331","52723.16558","51922.76186","57663.280805999995","61089.65734","72030.3514","61414.54543","53875.69056","59035.02508","61489.05396199999","67034.26722","68845.41192","65971.56497","77803.01526","57944.1545","67519.682774"
"929.2579811","5127.365869","10205.33776","3677.538728","8012.508726","6752.811036","6755.1124238","12069.30403","11072.44127","13134.83629","11038.63385","12343.99878","11931.842844","6861.079931","11103.54551","7206.710914","6881.562982","8776.594537","8165.8987748"
"1375.355278","11994.06551","13791.41872","11818.68598","16304.31845","14740.41508","13729.780748000001","17102.65312","12811.79433","15903.84599","19834.41968","17891.59099","16708.860822","14114.13596","25412.1561","13735.39209","15479.21504","21334.42826","18015.06549"
"1753.044027","455.7441186","86.93019063","219.4222176","3435.600223","3210.37665","1481.614679966","3932.615607","2778.052763","3707.850205","3293.716925","3349.866049","3412.4203098","509.1125272","3811.177969","481.5397511","297.1089002","3567.018915","1733.1916125"
"1914.584872","9353.623876","6233.824387","7451.491265","30001.7065","25737.62859","15755.6549236","27988.4521","20648.11702","27917.96383","36572.92135","33271.30011","29279.750882","12214.01079","42990.76543","12937.80258","11143.41076","41849.99612","24227.197136000003"
"929.7831767","7.616857096","100.129541","122.5915506","1901.713915","1264.12969","679.2363107392","1564.934749","391.5944369","1893.19394","3776.133301","2486.255282","2022.42234178","51.33677089","4349.746141","111.8185841","122.8656311","2490.190547","1425.191534818"
"1298.416977","10960.30922","16089.60467","10309.04493","31102.33743","31049.64461","19902.188172000002","26088.18958","14214.04964","18903.76488","29774.26108","22894.94153","22375.041341999997","13226.08351","40121.91421","12683.34985","11315.49369","39683.11038","23405.990328"
"694.1276363","20300.5817","27417.02948","15656.44231","12817.45291","14600.4769","18158.39666","16696.20333","19690.14586","16050.96922","16504.60849","15009.94744","16790.374868","18775.61006","20113.86433","19048.94133","24919.79129","14624.76842","19496.595086000005"
"188.0371414","4330.445936","14133.98327","4142.021799","5586.67098","6289.441066","6896.512610200001","4359.681681","5240.234872","4860.141263","4505.950911","3982.8432","4589.7703854","5588.900255","7315.181827","5233.425078","6569.1839","6074.685603","6156.2753326"
"166.0455603","2428.206603","4463.637819","1744.54892","2045.970163","1962.823779","2529.0374567999997","2360.91319","2880.067022","2562.756639","2139.2394","2175.004017","2423.5960536","2766.652126","2695.107635","2568.81064","21788.55132","2336.159438","6431.056231799999"
"221.0484272","5864.355593","14102.86808","4859.286449","5460.735557","5764.75435","7210.4000058","6134.814904","7130.854034","6404.095461","5613.708717","5244.418068","6105.5782368","7362.075905","7614.721278","6780.875629","15187.71568","6175.848539","8624.2474062"
"174.9919325","8162.706089","22809.02378","7080.455735","8659.188214","8696.84509","11081.6437816","7386.10173","8735.571952","8270.578262","7502.342778","6735.155172","7725.9499788","9164.829299","12105.946","9042.984833","17788.8414","9433.378174","11507.1959412"
"118.548556","","","","","","1","","","","","","1","0.007227835","0.302765258","0.015691036","9908.514297","0.283017934","1981.8245998126"
"110.5151268","85.1262097","610.7272261","105.7318673","192.5291601","204.0980491","239.64250246","117.2732015","151.1207356","160.1686545","135.8115533","115.712912","136.01741138","228.3481265","316.0976742","200.3927589","0.001640128","227.5342332","194.4748865856"
"757.0957572","9235.051644","13314.99096","12226.30315","12766.41289","12209.88643","11950.529014799999","7131.20062","7916.420694","8036.427093","7126.695281","6854.763792","7413.101496","9717.532245","11187.68662","10055.37329","4719.832607","10941.15334","9324.3156204"
"205.0297849","11072.88087","49526.86809","10489.27399","15753.18753","16278.87982","20624.21806","11023.83567","12328.30266","12292.49308","11308.07783","8684.822268","11127.5063016","17113.78256","23361.01916","16399.41564","13000.9406","16792.28116","17333.487824"
"244.0948712","38290.22493","50486.89812","31791.392","33421.34712","34148.74384","37627.721202","48198.4837","52808.94765","47072.94893","40086.48077","57474.36148","49128.244505999995","44022.30615","37181.94949","38624.92857","42805.96325","31418.96577","38810.822646"
"291.0663367","67282.2614","166460.334","80445.48028","100808.2235","121514.0668","107302.073196","61275.99074","60060.55491","57746.88174","61689.7351","63692.72619","60893.177736","74771.6384","123530.8194","72943.94111","28080.07459","126823.3674","85229.96818"
"637.143925","43161.08228","96481.48049","50213.26665","54362.9639","61839.38062","61211.634788","32582.81384","32790.11124","28712.66689","27657.15094","31902.56614","30729.061810000003","43025.14729","59695.26311","39317.64186","16413.78187","55717.49998","42833.866821999996"
"960.2014411","14506.67365","25278.19118","17300.44665","18422.25043","21232.88618","19348.089618","12943.80378","11695.30406","11267.81215","10938.15736","11522.60813","11673.537096","15846.22981","19695.05576","15824.53511","11173.26936","19095.14576","16326.84716"
"659.1235713","14827.33756","26124.9917","13670.98216","15712.0168","15323.35454","17131.736552","15040.55771","16982.18383","13584.33727","12586.79066","13086.36952","14256.047798000003","14430.0609","19546.56222","13808.54956","22113.75674","15745.83016","17128.951915999998"
"1002.188053","4411.985057","6573.396625","3829.950553","4058.258469","4429.692815","4660.656703799999","4372.647386","3863.715898","3826.854529","4348.697896","4250.902488","4132.5636394","4138.547973","4585.676342","4042.352516","3434.647436","3909.833047","4022.2114627999995"
"803.1563919","8422.029912","10518.50655","8954.912784","9912.373327","9183.917859","9398.3480864","29123.21726","10752.93028","15114.86303","27549.33497","10921.15009","18692.299126","11234.40913","15254.6134","11647.06388","46793.11614","15634.07719","20112.655948"
"152.0034641","3069.934685","14845.90125","3320.416946","5086.653402","5037.753342","6272.131925000001","3692.129135","4250.658918","4235.142419","3825.144885","2901.245606","3780.8641925999996","4864.377366","6981.669849","4824.543752","160.5039108","5144.721765","4395.163328559999"
"538.0369035","13341.66187","18087.4805","10008.29815","9706.573408","9515.195081","12131.8418018","10752.45112","12337.47901","10769.23042","7974.720471","8426.864629","10052.14913","10775.00096","10894.9628","10507.27878","9364.667698","8566.872199","10021.756487399998"
"740.1107803","3992.578899","4289.033434","2827.272734","2606.659508","2920.28027","3327.1649690000004","3530.193578","3689.68306","3316.125656","2152.86882","2414.500929","3020.6744086","3396.606438","2714.441821","3315.235063","7341.471868","2338.686208","3821.2882796"
"716.063266","3363.002527","3378.114372","3113.013646","3347.675888","3309.524995","3302.2662856","3995.578708","3878.329662","3717.953243","3480.826233","3399.867003","3694.5109698","3417.064724","4071.214368","3527.892222","4059.956344","3630.810752","3741.3876819999996"
"472.0638839","19369.7195","32476.13314","14684.64992","15284.38498","15298.38866","19422.65524","11998.531","17856.27447","15589.6535","13305.46812","13411.29548","14432.244514","16829.378","17730.80834","16814.82488","13265.04034","14017.48172","15731.506656000001"
"135.0666459","3740.367822","3796.136775","2923.863885","2462.31011","2242.049333","3032.945585","3405.218099","3608.66884","3243.753648","2652.867774","2699.179732","3121.9376186","2961.272843","3285.965408","2743.05078","2821.202548","2858.741844","2934.0466846000004"
"529.1091735","15658.6097","18436.20423","11723.3107","10649.05836","10533.42267","13400.121132","14816.12967","16439.26636","13998.18556","11370.31124","11379.02124","13600.582814","11656.95422","12055.37798","10971.01645","7673.974503","9596.475501","10390.7597308"
"763.1599314","10241.52816","7979.323204","7301.337924","6452.721984","6725.914755","7740.165205400001","11883.54413","12191.31948","9662.591384","8097.284201","9505.037269","10267.955292800001","6862.639611","6260.784956","6673.841786","22642.47588","5334.198723","9554.7881912"
"154.5450879","2342.806118","4111.210192","1574.173028","2190.729976","2406.144778","2525.0128183999996","2577.561734","3086.017444","2615.117949","2722.382514","2982.283801","2796.6726884","1733.920989","1824.017663","1850.428364","1167.48615","1524.266053","1620.0238438000001"
"250.0881996","16924.46192","33671.48513","13113.43297","15719.33283","17599.21805","19405.586180000002","17353.04504","20644.53713","17912.58171","18437.58409","18710.52239","18611.654071999998","16395.13052","18961.8844","15810.09586","321217.4129","15754.76989","77627.858714"
"198.0108662","9231.626446","26418.04342","7872.1401","10928.62268","10286.08928","12947.304385200001","9004.825647","10040.52905","10242.43214","10015.39803","7949.086705","9450.454314400002","10163.99816","16758.49418","9876.98492","10539.18551","13211.14781","12109.962115999999"
"393.0936908","20584.42114","34461.56384","17998.58137","22138.03987","20362.86588","23109.09442","27304.60621","27418.24437","27424.32019","24464.3342","22209.77024","25764.255041999997","19187.69774","29279.66867","18906.96309","59950.9471","24132.57505","30291.570330000006"
"565.0778797","12314.52875","17330.23279","8695.566214","8778.336437","9318.292965","11287.3914312","8514.212663","10190.26014","9175.996385","7491.002524","7064.489558","8487.192254000001","11234.20607","10594.33575","12098.33956","12293.89391","8192.980114","10882.751080799999"
"445.0636896","10007.26183","20198.36883","8726.006064","9205.261638","10794.62365","11786.3044024","9320.661425","11190.46997","8572.563518","7664.324298","7318.629379","8813.329717999999","10954.88348","11249.93437","10333.50813","9863.763321","9990.558281","10478.5295164"
"295.0570678","17564.56478","32071.34246","13778.58143","13294.05221","11754.17164","17692.542504","15530.39006","19937.54725","18368.45845","14461.16595","15286.0759","16716.727521999997","14083.10121","16742.8404","12456.67006","12166.64395","12819.66418","13653.78396"
"248.5330034","823.7737409","1798.696528","798.4407237","831.0404513","1178.742539","1086.13879658","1120.491162","1782.421137","1066.753734","877.2543365","1193.986566","1208.1813871","1253.264071","1198.384808","1239.970268","1171.299695","1075.177735","1187.6193154"
"327.0510504","13119.84517","24538.06594","11576.82025","11595.55219","14392.87474","15044.631658000002","13991.38612","16927.78073","13152.7766","13086.10009","13592.72178","14150.153064000002","15146.59725","14572.90154","14612.06401","97147.61677","14152.1547","31126.266853999998"
"456.0658623","31741.49841","39756.41145","19616.57412","18356.04818","17743.59841","25442.826114000003","23426.68952","34198.25365","28515.18574","22898.58938","24604.81178","26728.706014000003","22640.84148","22468.98274","20690.186","22820.12945","18291.37015","21382.301964000002"
"126.5371638","7.850901596","","0.995923074","0.011325727","1.354357191","2.0425015176","3.077685846","4.181056698","5.279982936","3.940041501","2.465010686","3.7887555334","","","","","","1"
"243.0021449","2828.331473","10041.12411","1897.344421","2243.123341","2315.543419","3865.0933528","1763.311224","2507.148754","2187.754703","1665.262197","1453.513878","1915.3981511999998","3031.215028","3471.73957","2530.43709","4721.570214","2102.288203","3171.4500209999997"
"307.5857006","882.2934501","4646.5623","2215.574281","3674.963825","4356.15008","3155.1087872199996","1076.656082","978.5328692","936.8350902","1106.753527","1260.066554","1071.76882448","1885.627547","3788.341018","1969.094434","86.34653457","4190.415781","2383.965062914"
"272.1090477","22107.40133","20008.55004","14681.71009","18380.87596","15011.01372","18037.910228","28777.46888","19704.03711","20326.67976","22058.59116","30047.43799","24182.842979999998","12000.54477","13068.98612","11438.83487","13368.71628","12988.67648","12573.151704"
"136.0765213","186037.5535","193574.411","174030.5115","145535.6643","145378.9588","168911.41982","153195.1618","160803.4641","124844.2581","120400.6584","127373.2358","137323.35564","141521.0737","130632.0231","132223.8383","123228.9626","122875.1808","130096.21569999999"
"904.0622667","5721.364294","8041.322936","4862.328983","5219.295698","5808.005287","5930.463439599999","3783.799831","2134.237617","3751.158301","3813.40131","2789.559022","3254.4312161999997","5824.546035","5561.170135","5688.968023","6449.850264","5010.972776","5707.1014466"
"194.5417836","154.2766233","236.2189725","180.0083068","136.7230022","132.6722511","167.97983118000002","334.9231398","233.5105539","299.7541217","249.5247254","246.7233295","272.88717406000006","192.2691935","197.5356034","218.0039939","240.7264625","160.992098","201.90547026"
"217.0216074","4918.640362","10009.05629","4251.151492","5494.844732","6231.452057","6181.0289866","4568.723359","2617.212877","4470.838348","5478.074706","4627.458255","4352.461508999999","6466.056248","7483.515311","6031.234511","7305.990198","6620.524611","6781.4641758"
"151.5250547","230.7089207","522.1896834","187.1573669","238.1722894","264.1311489","288.47188186","202.3606839","156.2674341","229.6773832","260.9450341","235.1730638","216.88471981999996","260.0889471","352.6204054","247.8592542","330.7176145","330.4307066","304.34338556"
"386.0873975","69649.3873","139055.7946","61272.05228","94697.19769","129473.1042","98829.50721400001","58300.44118","20640.62728","55726.61689","94538.06447","62707.17209","58382.58438200001","125037.859","135870.683","122157.721","146685.3815","131760.2608","132302.38105999999"
"353.0111624","4320.031105","12725.91907","3082.067636","4264.841464","4365.006768","5751.5732086","2020.188109","1012.236597","2241.267412","2530.359663","1419.525288","1844.7154138","3399.278244","5879.354867","3533.011589","4558.492941","4267.631174","4327.553763000001"
"799.117862","18818.71231","38827.14934","16135.35578","21734.58056","26203.46305","24343.852208000004","13236.53582","6766.314593","12719.15293","17960.52892","11802.21416","12496.949284600001","23409.47986","28167.41644","22742.60072","28264.52714","25015.36193","25519.877218"
